X,CH1,
Second,Volt,
-7.9579987e-03,1.52000e+00,
-7.9569994e-03,1.52000e+00,
-7.9559991e-03,1.54000e+00,
-7.9549989e-03,1.52000e+00,
-7.9539986e-03,1.52000e+00,
-7.9529993e-03,1.54000e+00,
-7.9519991e-03,1.52000e+00,
-7.9509988e-03,1.52000e+00,
-7.9499986e-03,1.52000e+00,
-7.9489993e-03,1.52000e+00,
-7.9479991e-03,1.52000e+00,
-7.9469988e-03,1.52000e+00,
-7.9459995e-03,1.54000e+00,
-7.9449993e-03,1.54000e+00,
-7.9439990e-03,1.52000e+00,
-7.9429988e-03,1.52000e+00,
-7.9419995e-03,1.52000e+00,
-7.9409992e-03,1.52000e+00,
-7.9399990e-03,1.52000e+00,
-7.9389988e-03,1.54000e+00,
-7.9379994e-03,1.52000e+00,
-7.9369992e-03,1.52000e+00,
-7.9359990e-03,1.52000e+00,
-7.9349987e-03,1.54000e+00,
-7.9339994e-03,1.54000e+00,
-7.9329992e-03,1.54000e+00,
-7.9319989e-03,1.52000e+00,
-7.9309987e-03,1.52000e+00,
-7.9299994e-03,1.52000e+00,
-7.9289991e-03,1.52000e+00,
-7.9279989e-03,1.52000e+00,
-7.9269987e-03,1.52000e+00,
-7.9259994e-03,1.52000e+00,
-7.9249991e-03,1.52000e+00,
-7.9239989e-03,1.52000e+00,
-7.9229986e-03,1.52000e+00,
-7.9219993e-03,1.52000e+00,
-7.9209991e-03,1.52000e+00,
-7.9199988e-03,1.50000e+00,
-7.9189986e-03,1.54000e+00,
-7.9179993e-03,1.52000e+00,
-7.9169990e-03,1.52000e+00,
-7.9159988e-03,1.52000e+00,
-7.9149995e-03,1.52000e+00,
-7.9139993e-03,1.52000e+00,
-7.9129990e-03,1.52000e+00,
-7.9119988e-03,1.54000e+00,
-7.9109995e-03,1.52000e+00,
-7.9099992e-03,1.52000e+00,
-7.9089990e-03,1.52000e+00,
-7.9079987e-03,1.52000e+00,
-7.9069994e-03,1.52000e+00,
-7.9059992e-03,1.54000e+00,
-7.9049990e-03,1.52000e+00,
-7.9039987e-03,1.52000e+00,
-7.9029994e-03,1.52000e+00,
-7.9019992e-03,1.52000e+00,
-7.9009989e-03,1.54000e+00,
-7.8999987e-03,1.52000e+00,
-7.8989994e-03,1.52000e+00,
-7.8979991e-03,1.52000e+00,
-7.8969989e-03,1.54000e+00,
-7.8959987e-03,1.52000e+00,
-7.8949993e-03,1.52000e+00,
